ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10342255,HY532735,12/11/2015 01:30:00 AM,010XX E 45TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),False,False,222,2.0,4.0,39.0,07,1184131.0,1875390.0,2015,02/10/2018 03:50:01 PM,41.813246211,-87.600112719,"(41.813246211, -87.600112719)"
10142654,HY329530,07/03/2015 12:15:00 PM,050XX S ST LAWRENCE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,223,2.0,4.0,38.0,06,1181112.0,1871575.0,2015,02/10/2018 03:50:01 PM,41.802847689,-87.611303981,"(41.802847689, -87.611303981)"
9943453,HY131656,01/24/2015 11:00:00 PM,010XX E 93RD ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,413,4.0,8.0,47.0,06,1184928.0,1843530.0,2015,02/10/2018 03:50:01 PM,41.725800736,-87.598188203,"(41.725800736, -87.598188203)"
10226071,HY413490,09/07/2015 01:36:00 AM,045XX W GEORGE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2521,25.0,31.0,20.0,08B,1145686.0,1918896.0,2015,02/10/2018 03:50:01 PM,41.93344555,-87.74002874,"(41.93344555, -87.74002874)"
10189270,HY377065,08/10/2015 06:00:00 PM,005XX S WESTERN AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,1135,11.0,2.0,28.0,08B,1160478.0,1897602.0,2015,02/10/2018 03:50:01 PM,41.874719371,-87.68625913,"(41.874719371, -87.68625913)"
10060062,HY248883,05/06/2015 05:35:00 AM,098XX S SEELEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2213,22.0,19.0,72.0,07,1164424.0,1839476.0,2015,02/10/2018 03:50:01 PM,41.715131884,-87.67340941,"(41.715131884, -87.67340941)"
10314694,HY503794,11/05/2015 10:00:00 AM,070XX S WASHTENAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,831,8.0,18.0,66.0,14,1159590.0,1857847.0,2015,02/10/2018 03:50:01 PM,41.765645155,-87.690611323,"(41.765645155, -87.690611323)"
10337525,HY528613,12/07/2015 06:30:00 PM,083XX S LUELLA AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,True,True,412,4.0,8.0,46.0,05,1192630.0,1850099.0,2015,02/10/2018 03:50:01 PM,41.743642712,-87.569762302,"(41.743642712, -87.569762302)"
10868930,JA175959,05/15/2015 02:00:00 PM,063XX S MINERVA AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,False,False,314,3.0,20.0,42.0,11,,,2015,03/06/2017 03:51:31 PM,,,
10148269,HY337822,07/12/2015 04:00:00 AM,008XX N HOMAN AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,1121,11.0,27.0,23.0,06,1153552.0,1905583.0,2015,02/10/2018 03:50:01 PM,41.896760507,-87.711476205,"(41.896760507, -87.711476205)"
